show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,title_norm,tconst,titleType,primaryTitle,originalTitle,startYear,genres,averageRating,numVotes,primaryTitle_norm
s4492,Movie,Derren Brown: Sacrifice,,Derren Brown,,"October 19, 2018",2018,TV-MA,50 min,Movies,Illusionist Derren Brown concocts a psychological experiment in which he tries to manipulate an ordinary person into taking a bullet for a stranger.,derren brown: sacrifice,tt9077188,tvSpecial,Derren Brown: Sacrifice,Derren Brown: Sacrifice,2018.0,Documentary,7.1,2045.0,derren brown: sacrifice
s4497,Movie,Naa Bangaaru Talli,Rajesh Touchriver,"Siddique, Anjali Patil, Lakshmi Menon, Nina Kurup, Rathna Shekar Reddy, Anoop Aravindan",India,"October 19, 2018",2013,TV-14,122 min,"Dramas, International Movies","A father leading a dark double life and his daughter, who's eager to pursue her studies in Hyderabad, face the tragic consequences of sex trafficking.",naa bangaaru talli,tt2404605,movie,Naa Bangaaru Talli,Naa Bangaaru Talli,2013.0,"Crime,Drama,Family",7.3,196.0,naa bangaaru talli
s4499,TV Show,Project S The Series,,"Wiwattanawarang Oabnithi, Mahayotaruk Thiti, Lerkcharoempoj Papangkorn, Imanothai Kawin, Sakuljaroensuk Apinya, Oat Pasakorn Sanrattana, Leeratanakajorn Thanapob, Skye Nateeton Wongrawee, Supapunpinyo Teeradon, Chansangavej Chayanit, Ketprapakorn Narikun, Pibunsonggram Kritsanapoom, Santinatornkul Chanon",Thailand,"October 19, 2018",2017,TV-MA,4 Seasons,"International TV Shows, TV Dramas, Teen TV Shows","Sports and friendship intertwine in tales of a volleyball team, an autistic badminton player, a skateboarder with depression and an archery-club crush.",project s the series,tt8059904,tvSeries,Project S the Series,Project S the Series,2017.0,"Comedy,Drama,Family",8.3,141.0,project s the series
s4508,Movie,Sanju,Rajkumar Hirani,"Ranbir Kapoor, Vicky Kaushal, Paresh Rawal, Sonam Kapoor, Dia Mirza, Jim Sarbh, Anushka Sharma, Manisha Koirala, Boman Irani",India,"October 15, 2018",2018,TV-MA,159 min,"Dramas, International Movies","From the depths of addiction to the heights of stardom to underworld entanglements, this biopic traces the checkered past of Indian actor Sanjay Dutt.",sanju,tt6452574,movie,Sanju,Sanju,2018.0,"Biography,Comedy,Drama",7.6,65995.0,sanju
s4510,Movie,Soorma,Shaad Ali,"Diljit Dosanjh, Tapsee Pannu, Angad Bedi, Kulbhushan Kharbanda, Satish Kaushik, Vijay Raaz, Seema Kaushal, Mahabir Bhullar, Alka Badola Kaushal, Jimmy Moses",India,"October 13, 2018",2018,TV-14,131 min,"Dramas, International Movies, Sports Movies",This biopic on former Indian field hockey player Sandeep Singh follows the athlete’s hard-fought comeback after an accidental gunshot left him paralyzed.,soorma,tt7690638,movie,Soorma,Soorma,2018.0,"Biography,Drama,Sport",7.3,6090.0,soorma
s4514,Movie,Feminists: What Were They Thinking?,Johanna Demetrakas,,United States,"October 12, 2018",2018,TV-MA,86 min,"Documentaries, LGBTQ Movies","Revisiting 1970s photos of women that captured a feminist awakening, this film explores those women's lives and examines the continued need for change.",feminists: what were they thinking?,tt5419676,movie,Feminists: What Were They Thinking?,Feminists: What Were They Thinking?,2018.0,Documentary,7.1,2558.0,feminists: what were they thinking?
s4515,TV Show,FIGHTWORLD,Padraic McKinley,Frank Grillo,,"October 12, 2018",2018,TV-MA,1 Season,Docuseries,"Actor and fight enthusiast Frank Grillo travels the world, immersing himself in different fight cultures to understand their traditions and motivations.",fightworld,tt9047526,tvSeries,Fightworld,Fightworld,2018.0,Documentary,7.5,988.0,fightworld
s4522,TV Show,Salt Fat Acid Heat,,Samin Nosrat,,"October 11, 2018",2018,TV-PG,1 Season,Docuseries,"Chef and food writer Samin Nosrat travels the world to explore four basic keys to wonderful cooking, serving up feasts and helpful tips along the way.",salt fat acid heat,tt8772088,tvMiniSeries,Salt Fat Acid Heat,Salt Fat Acid Heat,2018.0,Documentary,7.6,3041.0,salt fat acid heat
s4523,Movie,22 July,Paul Greengrass,"Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith","Norway, Iceland, United States","October 10, 2018",2018,R,144 min,"Dramas, Thrillers","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.",22 july,tt7280898,movie,22 July,22 July,2018.0,"Crime,Drama,History",6.8,39897.0,22 july
s4526,Movie,Mo Amer: The Vagabond,Stan Lathan,Mo Amer,United States,"October 9, 2018",2018,TV-MA,57 min,Stand-Up Comedy,"Arab-American comedian Mo Amer recounts his life as a refugee comic, from traveling with the name Mohammed to his long path to citizenship.",mo amer: the vagabond,tt9060526,tvSpecial,Mo Amer: The Vagabond,Mo Amer: The Vagabond,2018.0,"Comedy,Documentary",7.3,1251.0,mo amer: the vagabond
